x,y,z,px,py,pz
9.616890917501623726e-01,-1.207415177816960478e-01,-6.583329393810020136e-01,-8.875251996466991533e-02,8.670329635391260670e-01,-1.890440376234336084e-01
5.884004510050001580e-01,1.526579874684172111e+00,-9.639941830052852767e-01,6.506100905018024072e-01,-4.136210555679603051e-01,6.016477896882488352e-02
9.336452971985730043e-02,1.351133739439263071e+00,6.500940066927405336e-01,3.993230071017493388e-01,8.327568530260015534e-01,2.944144286860101989e-01
-5.459055883515233631e-01,-4.774721512375154631e-01,-7.576582900126866971e-01,-4.909282387250736845e-01,4.411619365562221562e-01,4.618390700194918708e-01
-1.119331086966473265e-01,-1.063524164905143010e-01,5.668806124177220296e-01,-5.877080127448435221e-01,4.916906388248983711e-03,-2.759287754914443447e-01
6.432022733292380723e-01,7.985776245613789293e-01,8.452532876633649384e-01,6.201069398470846483e-01,-1.557451269897279778e-01,-4.934123609552849565e-01
1.927003881973670951e-01,-4.481822965184402152e-01,6.368327146594900123e-02,-1.198631069449037079e-01,3.289050136206967956e-01,-2.499692970190255381e-01
-2.025421161777241075e+00,-6.564225694134994127e-01,-1.041926927235073963e+00,3.759713315694311886e-01,-6.774770027246701520e-02,2.636887783112589756e-01
-1.002726561893945156e+00,-6.971882294217633946e-01,5.354073233666480913e-01,6.663385146932905290e-01,3.657924838880481921e-01,5.292800389034883063e-02
-8.175995521467208649e-01,1.560218121588711426e+00,8.023201530380158486e-01,-2.593489430801152462e-01,-3.026251518307872534e-01,-2.363306004551482820e-01
-1.452271065474016298e+00,5.190644458410774709e-01,2.970957878121527340e-01,1.251994937216246995e-01,-3.596410446867146504e-01,-1.551104237842468314e-01
-4.687499597266645557e-01,-1.584436822085038277e-01,-1.084291529166348189e+00,2.164463661089890620e-02,8.998113085688953794e-02,5.601116546766234452e-03
-1.741431989419930382e-01,1.315198845352040791e-01,1.500014413785788481e-01,6.829563772463381754e-01,-1.354090286418788147e-01,5.009504503099867501e-01
4.236329417002436537e-02,-1.425863766028339086e-01,2.925617203203485783e-02,-2.812128839265953251e-01,2.642125943213287087e-01,4.625100016663175051e-01
1.535281221212838609e+00,4.745820514356559605e-01,4.085979742722061769e-01,-2.668387068619494373e-01,3.153005572056978845e-01,-2.546534118466370900e-01
9.209796329727781838e-01,-9.744056740496876978e-01,-5.145052408806926048e-01,1.504972889943586578e-01,1.395831589012702656e-01,-3.453079300701504262e-01
-1.648777302648509524e+00,2.619205560357591445e-01,5.127870198643538213e-01,6.348457140894487871e-01,-6.341421482094894424e-02,9.126660068037703577e-02
4.735310447395689459e-02,2.068642194945764512e-01,7.707289227907826272e-03,4.240301512204847079e-01,3.828398705372876298e-01,-4.952876283111159322e-02
4.550229183112114995e-01,3.437499593125519226e-01,-3.314224909139024122e-01,6.418496246913703018e-01,-2.151020454318398611e-01,-2.614241317169957793e-02
1.104696279301325745e+00,3.823176462271807990e-02,-7.672586256751924294e-01,6.341654267817842250e-02,-2.421566430687797228e-02,-4.715577690748889439e-01
7.815754237932254211e-01,7.767541881835422490e-01,-6.488359071934681754e-01,-5.280109436007857093e-01,-2.282859734557392550e-01,2.550098788078714596e-01
-2.800403815412386144e-01,5.718550236008005383e-01,3.143477728095272483e-01,-3.144754054888758144e-01,3.663524402937850394e-02,2.163043943719655249e-01
-1.732904012075616451e-01,-9.890089063337816067e-02,7.218782446041389633e-01,3.053965839069670563e-01,-2.414800466281454838e-01,7.208630690931730478e-02
1.360514002781144871e+00,1.844055632498297514e+00,-1.571973147597987841e-01,1.550485933489180179e-01,-4.832568190320669643e-01,5.406325239158269458e-01
8.797891778972151133e-01,-1.202468626377158678e+00,6.031099745490236218e-04,-1.634726769926881929e-01,4.405117727198100408e-02,-3.712378981670409472e-01
-2.092329863325320893e+00,2.413376819744554591e-01,8.320305145704779415e-01,2.832044417853933349e-01,2.015565054841997883e-01,-7.772045143096424635e-02
-7.269307265308018184e-01,-6.593236324202771392e-01,-1.144677461661595119e-01,6.339461244582191846e-01,5.654213965491401428e-01,-1.074876951375521861e-01
-1.932342013700090400e+00,-1.627654341000866756e-01,-6.108960053230299003e-01,-5.726025030882012645e-01,2.903075016886974558e-01,1.788624829315893158e-02
1.599959423594247976e-01,-8.730126192590117462e-01,4.004069290972686601e-01,8.505707470343903953e-01,2.457730468655054956e-01,1.589583062065453023e-01
-3.653928647959694964e-01,2.043413928763031517e+00,-1.486276619353779638e-02,5.009144363541839784e-01,-2.862002798320372188e-01,-8.398590414190459930e-02
1.201222054381595683e+00,-5.998811950573409435e-01,-7.035985991865668643e-01,-3.840185377173425119e-01,2.251973116805605635e-01,-3.810356078395746304e-02
-9.597880175724062823e-01,7.302139587618769467e-02,9.036847917762661497e-01,-3.204095572808346448e-01,3.160280826914012575e-01,-1.376985792990279567e-01
-1.040461943186931748e+00,8.249231485666568275e-01,-4.559988546377865548e-01,-2.448298071513449747e-01,3.492734795073323406e-01,4.418878160314361758e-01
6.663788365005897107e-01,-1.131892985286083064e+00,-1.931635846127524314e-01,1.153863239395742923e-02,2.219872255587703180e-01,6.079343688831180259e-01
-1.396580508018619327e+00,-4.777131408533902834e-01,4.421240072489088790e-01,-1.825408696651052431e-01,4.911097433552035207e-01,-4.748604844056297097e-02
-1.987335396207739746e-01,4.401624619903796165e-01,6.433954120217209027e-01,-3.053723965222391312e-01,-7.760771639138447364e-01,1.042251962796271886e-01
-2.043865709777563100e-01,8.766591506032762604e-01,-8.414830916596244270e-01,3.520677560165696995e-01,-9.565552024565898703e-02,1.669259102539448758e-01
-1.233253092809017737e+00,8.551558557427419993e-01,-2.916414078508724472e-01,3.023247315170169425e-01,3.368295803920162146e-01,-9.792905448693221826e-02
-2.580037366563830759e+00,3.152910896574949162e-01,-3.764907278771903454e-01,3.126645225786755522e-01,-7.391483599280017636e-01,-1.408993525007676828e-01
-1.058096958174003177e+00,-2.887883911851583107e-01,-7.663148506509529501e-01,-5.567721108639794858e-02,-1.093991416978178921e-01,-1.318701876819353969e-01
1.229297739316058236e+00,1.913203665006967702e+00,1.667020925716884705e-01,3.094046047292007273e-01,8.723894893230335623e-02,-1.814156021872963820e-01
-1.553341784476802268e+00,5.856736790105143697e-01,-3.427649397998707159e-01,-1.013498582630218553e-01,4.642779266500652452e-02,3.624474449405161169e-01
-7.132339626978627667e-01,-1.320080064105489726e+00,-1.020817695112493789e-01,-2.188151088921754805e-01,6.767417015094927546e-01,-3.421915345585570534e-01
-1.355129919694421314e+00,3.256269342579920512e-01,5.415549857837348435e-01,-5.668738289307524714e-02,-4.529375947534530766e-01,-2.390865476848281351e-02
6.812827906124872823e-02,-1.620385308858114312e-02,-8.107222252872340329e-01,-4.676486961271328902e-01,-4.486667047244684570e-01,-2.545860857521534473e-02
5.644601340756651986e-01,-7.463718171880520114e-01,-4.589837144823353254e-01,-6.926315524605623775e-02,-4.861065485944787712e-01,4.022465137916426126e-01
-1.304431328883651986e+00,-1.181492889757506548e+00,-2.933477078848261144e-01,5.885283502085302265e-01,-5.114212790160291844e-01,-1.970981347884209062e-02
-1.810436068334538573e-01,4.287105392080026167e-01,-6.433650855850515660e-01,3.031241126060380542e-01,4.743591053039792477e-02,2.676698072028617648e-01
3.373855308777524709e-01,6.968192546110874019e-01,-9.953140349749589610e-01,8.045974651109972786e-01,1.113283630290061582e-01,4.645356133957306843e-01
-1.315334518448069145e+00,4.286993726214192724e-01,2.205347637838671326e-01,5.789050758832519072e-01,4.223330505473308349e-01,-3.433165030759361414e-01
-7.768553037957877105e-01,-1.712528796543092424e-01,-4.963801633046670547e-01,-9.725085873971217598e-01,3.504984536678249496e-01,1.833179725266267934e-01
3.569675474247753777e-01,-1.141082173972869596e+00,4.131096345718823781e-01,-1.228139701515998383e-01,2.153128095238913131e-01,2.452314068789165358e-01
-2.936700062708337278e-01,7.903290964223754766e-01,-2.892939970113161396e-01,-1.471592325460290562e-01,3.135600446540098840e-01,1.627247054917437541e-01
1.003274150406777476e+00,7.915939800983781138e-01,2.280892394694993830e-01,-7.221166937343540537e-01,-2.769523985691343948e-01,7.199473795003602516e-02
3.333556498452461270e-01,-6.049010744350479252e-01,6.585640391310459973e-01,4.022223794956110432e-02,3.053386758193875616e-01,3.763637992088927353e-01
-1.420377456117291715e+00,-8.791684625044310364e-01,-4.625344272079549013e-01,-2.427976130600430771e-01,1.667427531925800566e-01,1.229983548415882477e-01
-1.678348754000200393e-01,9.867586377129017317e-01,1.321448929546265916e+00,4.171788167063449071e-02,1.841046236781203882e-01,-3.865082955023925182e-01
-4.245778994627629754e-01,-7.464363635096349370e-01,5.056907833268639019e-01,3.064999005323661430e-01,-4.435267663235509805e-01,3.346812684126423965e-01
1.748317908790882225e+00,-8.902916864361195559e-01,1.776182987090130505e-01,-6.049293625653999751e-01,2.051618208808693444e-02,2.116353761132712674e-01
7.286026929330076118e-01,-5.430039735677241186e-01,-1.680666642570971814e-01,-5.140842729972963099e-01,1.634553863940304552e-01,8.902240544852801918e-02
-2.162530707686603382e+00,1.350156645522776200e-01,1.023754928597192304e+00,6.701424366629903095e-02,-3.008926337802360629e-01,2.187192473549808835e-01
9.253804255658948374e-01,9.088569923405279138e-02,-4.948769320138470817e-01,2.730125593954537896e-02,-4.627852159899159545e-01,1.925782006925319811e-01
6.873346022660610233e-01,-9.001835606420245384e-01,4.805434359209662110e-01,2.508435391573365231e-02,9.358197515291792890e-01,1.102861873292127065e-01
-6.724190852593667778e-01,7.084302621454968696e-01,2.414884200951437632e-01,1.044901338425794080e-01,-1.146645501367791475e-01,1.384519747912809906e-01
-2.712391292555352273e-01,8.700420105523485326e-01,6.246170019056050959e-01,-3.786052511001478660e-01,-5.747225587430473404e-01,-1.094165650043635585e-01
1.614546308730751667e+00,2.279509904859651215e-01,-3.411663055901650310e-01,-3.530688453544350569e-01,7.547434178710030715e-03,-1.426350208386749363e-01
-1.184417541985216982e+00,-1.233455179263661883e+00,-9.202421713228470246e-01,2.955987436125895873e-01,-3.328877833336484904e-01,2.420750196166143731e-01
1.681959082633774250e+00,-1.900062459580180996e-01,7.021403021653941368e-01,-5.750966305184660454e-01,4.969628817255525854e-01,3.107913203108915723e-01
7.539464342644182360e-02,-1.650074927405381295e-02,6.811611464839575358e-01,-4.477824235860407981e-02,-4.132852527892127981e-01,-1.798692694851941609e-01
-4.855229455296963259e-01,-1.731692741929103940e-01,6.331545421300027732e-01,3.902911141447448773e-01,-3.044506816816486272e-01,8.117704512496136671e-01
-9.836915405952184610e-01,4.773022242758251932e-01,-8.502671664040510613e-02,3.153695599746459410e-01,2.035688385001930278e-01,-5.746473583559590370e-01
1.289661193503891246e-01,5.587481095788722207e-01,3.068984977283836790e-02,7.170646355204318700e-02,6.066923252158342716e-01,-5.681917664134041868e-01
2.324296469240113017e-01,-8.571933562294187237e-02,-7.927192770850940984e-02,-1.357826734932952029e-01,4.942935967428712662e-01,3.159794489010870344e-01
-7.400275240267023547e-01,6.217769155285171045e-01,8.807772306587453581e-01,-1.813349674259655264e-01,2.814069374546231406e-01,-3.183467566859312092e-01
-9.552917144385473236e-01,-8.591470476826866542e-02,2.043858684804709669e-01,-8.487807165974751988e-02,-4.834755359064746294e-01,-4.088844518841461828e-01
-8.936315088407504881e-01,-8.546583247522736571e-01,-9.296546799700251551e-01,-3.020646211008721771e-01,-1.191926639248733644e-03,-7.230082227601557499e-01
4.622465423608134727e-01,8.429114622889317676e-01,-2.848570254952578207e-01,-3.063444725158453452e-01,2.610409800766545774e-02,1.010280917174990051e-01
5.572311803849290257e-01,-6.259403344064828900e-01,9.033868787187809835e-01,4.583348402625360696e-01,3.123573342241017445e-02,-1.072079494651898002e-01
-1.804229618186442008e-01,5.405954532527835754e-01,-5.914697228042098409e-02,6.368785238127760984e-01,-9.453614166485701034e-03,-5.080249565944622292e-02
-6.782266893642864281e-01,9.670573574241645431e-01,-7.097778018660447219e-02,-3.460927397609247502e-01,-5.174301147982592886e-01,9.615438583285396135e-01
2.265751544085873093e+00,1.028761616800193845e+00,5.502890385523787620e-01,6.730974682910713103e-01,4.239291509572582495e-01,3.137803972074069692e-01
-9.807993242440137260e-01,-9.793360189443373054e-02,2.661000078938459135e-01,6.049540628691140176e-01,4.656583285104141101e-01,-2.725483079634773848e-02
1.781781341065093560e+00,-1.122845474281752463e-03,4.401062185598013099e-01,-3.585425755605201048e-01,-1.763897537383760927e-01,2.911019639731328157e-01
-1.530781720300653514e+00,-5.275731027628467462e-01,-4.302401338735751812e-01,-6.763915888267404419e-01,-1.025341422149731035e-01,3.978365606961421497e-01
-2.750730047858943039e-01,2.831726928104005281e-01,5.122542601908776083e-01,8.888381986521977085e-01,-7.422071872049515462e-02,6.350642872952444451e-01
-3.145497524017995872e+00,4.433500379300751582e-01,-1.097021072380349460e-01,-4.529828956996537204e-01,2.455076112434756708e-01,6.691642496994876232e-01
1.041391746098254467e+00,3.746196451795621440e-01,9.450677369125068394e-02,-5.767218421345506052e-02,-3.941815249420008160e-01,-1.583633738223982207e-02
1.258087925630618109e+00,5.781198519234048705e-02,-3.240343289696284157e-01,-7.228588414108549909e-02,6.973226788750670757e-02,9.866489012533363745e-02
7.536695680530067776e-01,-2.763751969741176651e-01,1.401084981835692966e-01,3.340875723885128323e-01,-7.672444616361747682e-01,2.925814393092682764e-01
-5.267083222944851650e-01,-2.346316331280389744e-01,1.069553884470401395e-01,2.674022269232017579e-01,-1.846117753464923406e-01,-2.420283506115457686e-02
1.081633093005787694e-01,-1.100023572119026793e+00,-5.921573888912220474e-01,-4.307613184233421988e-02,1.547087227973762136e-01,-8.167919928162593879e-02
-7.674308351936384720e-02,1.956629514908332645e-01,-3.469210489102199646e-01,-5.380886333915091413e-01,1.207828636240976805e-01,-1.679063403554487965e-01
8.837568117760072894e-01,-5.582905568407036112e-01,-1.328605060170138519e-01,-6.194923816421923357e-01,-5.200785259522556769e-01,7.011277215480013481e-02
1.229569272512476052e+00,-1.286231264065820667e+00,-1.788561646235848901e-01,3.570543633285188645e-01,4.991410694643656498e-01,3.070762337946023046e-02
-4.364304275453842474e-02,-7.370481139349607247e-01,6.151185883119636433e-01,6.472808183653020464e-01,2.839582654632859249e-02,-2.326451136502257766e-01
1.155392543233667801e+00,8.566580927259412892e-01,2.208323924451059961e-01,-4.155644033726498265e-01,-9.430889308412482297e-01,-5.870656425895266484e-01
8.190180194272834724e-01,-1.839559861500632554e-01,-6.067649583961035598e-01,-3.997993958806276282e-01,1.795827063313998329e-01,-2.879641210934608120e-01
3.688437106511487928e-01,-2.404270931058096472e-01,-3.421135182190361279e-01,1.966827096375290684e-01,4.275500893171524375e-01,-2.197120339230959965e-02
-2.253939515451106601e-01,5.667114503032948392e-01,6.987418960687115099e-01,2.117565386439857478e-01,-1.933415188762725445e-01,4.528395177455761256e-01
4.560442417254242931e-01,-1.999961737032961984e-01,2.418651921978037522e-01,-1.194663831275766253e-01,1.902026972754324308e-01,-4.235824369850393206e-02
9.319370126658140796e-01,4.108834169332976072e-01,-5.116121933208095385e-01,-8.836647721508184006e-02,-5.533517682909222524e-02,-3.524818594659599458e-01
-2.360394943239677579e-01,5.141939309228609201e-01,5.234418572678718462e-01,-2.728683101848954351e-01,-4.288140017932411396e-01,4.046225099211873261e-02
-1.398566275598519537e+00,-1.112413315810079295e+00,7.731888098238521856e-01,4.779101662319289179e-02,-5.545992381132683890e-01,4.255866002194966247e-02
-8.834906539787618085e-01,1.004922092394704647e+00,-6.677547943995730817e-01,-5.070572334042208196e-01,4.523289858707647548e-01,1.481387467414798098e-01
-4.550587237857262046e-01,1.002243200178291049e+00,-2.003571628270084393e-01,3.163798309393251462e-01,-8.544298419055534888e-02,3.588893179748520179e-02
-1.167374770267440187e+00,2.806742653115996133e-01,1.483501923119432409e-01,-4.025464028070854794e-02,-4.414955674623146642e-01,-4.091055753455325461e-01
-4.210855701562670750e-01,4.654495984819301824e-01,-1.593350942827203853e-01,5.513288267509910412e-01,-3.190411402573194999e-01,-1.053505120862489042e-01
