time,position_x,momentum_z
0.0,4.9999999999999995e-11,-1.7899999999999997e-21
6.20935467733867e-21,4.999444262845137e-11,-1.7899994282039046e-21
1.241870935467734e-20,4.998888525867818e-11,-1.789998856280674e-21
1.862806403201601e-20,4.998332789068084e-11,-1.7899982842302655e-21
2.483741870935468e-20,4.997777052445976e-11,-1.789997712052637e-21
3.104677338669335e-20,4.997221316001535e-11,-1.7899971397477453e-21
3.725612806403202e-20,4.9966655797348044e-11,-1.7899965673155487e-21
4.3465482741370686e-20,4.9961098436458265e-11,-1.7899959947560044e-21
4.967483741870936e-20,4.995554107734645e-11,-1.78999542206907e-21
5.588419209604802e-20,4.9949983720013047e-11,-1.789994849254703e-21
6.20935467733867e-20,4.994442636445849e-11,-1.7899942763128613e-21
6.830290145072537e-20,4.993886901068325e-11,-1.789993703243502e-21
7.451225612806404e-20,4.993331165868778e-11,-1.7899931300465824e-21
8.072161080540271e-20,4.9927754308472554e-11,-1.7899925567220603e-21
8.693096548274137e-20,4.992219696003804e-11,-1.789991983269893e-21
9.314032016008004e-20,4.991663961338472e-11,-1.7899914096900377e-21
9.934967483741872e-20,4.991108226851308e-11,-1.7899908359824522e-21
1.0555902951475739e-19,4.990552492542361e-11,-1.7899902621470937e-21
1.1176838419209605e-19,4.989996758411682e-11,-1.7899896881839193e-21
1.1797773886943472e-19,4.9894410244593205e-11,-1.7899891140928868e-21
1.241870935467734e-19,4.988885290685328e-11,-1.789988539873953e-21
1.3039644822411206e-19,4.988329557089756e-11,-1.7899879655270754e-21
1.3660580290145074e-19,4.987773823672657e-11,-1.7899873910522115e-21
1.428151575787894e-19,4.987218090434083e-11,-1.7899868164493183e-21
1.4902451225612808e-19,4.986662357374089e-11,-1.789986241718353e-21
1.5523386693346675e-19,4.986106624492728e-11,-1.7899856668592733e-21
1.6144322161080542e-19,4.9855508917900555e-11,-1.7899850918720357e-21
1.6765257628814407e-19,4.9849951592661265e-11,-1.7899845167565977e-21
1.7386193096548274e-19,4.9844394269209965e-11,-1.7899839415129164e-21
1.8007128564282142e-19,4.9838836947547224e-11,-1.789983366140949e-21
1.862806403201601e-19,4.983327962767361e-11,-1.789982790640653e-21
1.9248999499749876e-19,4.9827722309589696e-11,-1.7899822150119852e-21
1.9869934967483743e-19,4.982216499329606e-11,-1.7899816392549026e-21
2.049087043521761e-19,4.98166076787933e-11,-1.789981063369362e-21
2.1111805902951478e-19,4.9811050366081995e-11,-1.7899804873553208e-21
2.1732741370685345e-19,4.980549305516275e-11,-1.789979911212736e-21
2.235367683841921e-19,4.979993574603617e-11,-1.7899793349415646e-21
2.297461230615308e-19,4.979437843870286e-11,-1.7899787585417634e-21
2.3595547773886944e-19,4.978882113316343e-11,-1.7899781820132898e-21
2.4216483241620814e-19,4.978326382941851e-11,-1.7899776053561005e-21
2.483741870935468e-19,4.977770652746871e-11,-1.7899770285701522e-21
2.545835417708855e-19,4.977214922731466e-11,-1.789976451655402e-21
2.6079289644822413e-19,4.9766591928957e-11,-1.789975874611807e-21
2.670022511255628e-19,4.976103463239637e-11,-1.7899752974393238e-21
2.7321160580290147e-19,4.9755477337633404e-11,-1.7899747201379094e-21
2.794209604802401e-19,4.9749920044668756e-11,-1.7899741427075205e-21
2.856303151575788e-19,4.974436275350308e-11,-1.789973565148114e-21
2.9183966983491746e-19,4.973880546413703e-11,-1.7899729874596467e-21
2.9804902451225616e-19,4.973324817657126e-11,-1.789972409642075e-21
3.042583791895948e-19,4.972769089080645e-11,-1.7899718316953565e-21
3.104677338669335e-19,4.972213360684326e-11,-1.7899712536194475e-21
3.1667708854427215e-19,4.971657632468237e-11,-1.7899706754143044e-21
